GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-larsw,com.assignment_5.calculator.main,Calculator,8,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.windows,WindowBasic,117,0,0,0,21,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.operations,CalculatorAdvanceOperations,0,27,0,0,0,7,0,7,0,7
calculator-larsw,com.assignment_5.calculator.operations,CalculatorBasicOperations,0,32,0,0,0,11,0,6,0,6
calculator-larsw,com.assignment_5.calculator.panels,AdvancedPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,AdvancedPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel,746,0,0,0,124,0,5,0,5,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,4,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,TextAreaPanel,100,0,0,0,29,0,9,0,9,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,AdvancedPanel,260,0,0,0,52,0,5,0,5,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,AdvancedPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,AdvancedPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,AdvancedPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,AdvancedPanel.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
calculator-larsw,com.assignment_5.calculator.panels,BasicPanel.new ActionListener() {...},33,0,0,0,5,0,2,0,2,0
